feature,importance
days_since_first,0.00015027957029831946
hits_60d,2.5426898121685763e-05
hits_30d,2.2036481148697958e-05
hits_total,1.5592839917833227e-05
hits_7d,8.067243187611649e-06
last_abs_rsi_45,6.337518866495487e-06
last_prev_rsi,5.8390226246618235e-06
last_cur_rsi,4.551493714999259e-06
cur_rsi_last_minus_min30,2.395371941959392e-06
cur_rsi_max,2.250445904548171e-06
cur_rsi_min_30d,2.1561217730404014e-06
cur_rsi_min,1.6130306789266748e-06
drop_max,1.5986294377584758e-06
p,1.534612103057187e-06
last_drop,1.2875288306401269e-06
drop_is_newmax_30d,5.293709645186841e-07
cur_rsi_mean,4.027063262609966e-07
prev_rsi_mean,3.9345664586197713e-07
drop_std,3.8949744431003934e-07
feat_prob_drop10,3.0634405793701085e-07
drop_min,2.4404713548879445e-07
cur_rsi_slope,1.8589014514832227e-07
drop_max_7d,1.576861781527464e-07
label_down10,1.0833790030428018e-07
file_date_ordinal,6.817676163818753e-08
symbol=FTTUSDT,5.2223112980998315e-08
symbol=DATAUSDT,5.164904052922039e-08
symbol=BANDUSDT,5.1568583910989844e-08
symbol=LTCUSDT,5.129845369370781e-08
symbol=NILUSDT,5.120519335049646e-08
symbol=SOLUSDT,5.097774334890347e-08
symbol=DARUSDT,4.539076570769918e-08
symbol=GPSUSDT,4.507615638587863e-08
symbol=WLDUSDT,4.502111207130329e-08
symbol=FLUXUSDT,4.4956802232021065e-08
symbol=AUCTIONUSDT,4.404659494387549e-08
symbol=RAYUSDT,3.703671196773137e-08
symbol=OPUSDT,3.700697490785599e-08
drop_max_30d,3.5555624371181355e-08
symbol=GTCUSDT,3.461509708711407e-08
symbol=BAKEUSDT,3.4610422824507673e-08
symbol=BOMEUSDT,3.457164667965844e-08
symbol=COMPUSDT,3.445202635532271e-08
symbol=DOGEUSDT,3.437375739907021e-08
symbol=QKCUSDT,3.433378229221094e-08
symbol=RENDERUSDT,3.4226941573441044e-08
symbol=BATUSDT,3.414655455963392e-08
symbol=MOBUSDT,3.4080218592420774e-08
symbol=JASMYUSDT,3.405144183083219e-08
last_drop_pct_simple,3.339039498451853e-08
symbol=DENTUSDT,2.8618769451737814e-08
symbol=YGGUSDT,2.8422877929429096e-08
symbol=GLMRUSDT,2.8401779996327194e-08
symbol=CFXUSDT,2.8271943042673713e-08
symbol=GMXUSDT,2.8168508767852255e-08
symbol=COTIUSDT,2.8112700373780706e-08
symbol=TLMUSDT,2.6605471311949953e-08
symbol=1INCHUSDT,2.5090167497459335e-08
symbol=PEOPLEUSDT,2.5048578431919546e-08
symbol=VELODROMEUSDT,2.5041931388626215e-08
symbol=TNSRUSDT,2.4970797160299087e-08
symbol=POWRUSDT,2.48693706567159e-08
symbol=XVGUSDT,2.4865519116797533e-08
symbol=ICPUSDT,2.485252223324895e-08
symbol=MDTUSDT,2.472841465623059e-08
symbol=MOVRUSDT,2.4700237198894293e-08
symbol=SPELLUSDT,2.4650086992335232e-08
symbol=CTXCUSDT,2.206376890219529e-08
symbol=EPICUSDT,1.8863343928263958e-08
symbol=CELOUSDT,1.8842560230447626e-08
symbol=QIUSDT,1.8821958129905745e-08
symbol=HUMAUSDT,1.8815932766038144e-08
symbol=ONGUSDT,1.880201113065264e-08
symbol=GNOUSDT,1.8781842759332057e-08
symbol=ORNUSDT,1.8778574942554867e-08
symbol=LUMIAUSDT,1.8770729205136933e-08
symbol=COWUSDT,1.8766832180906158e-08
symbol=ZRXUSDT,1.8713580787626103e-08
symbol=RLCUSDT,1.8666490567984908e-08
symbol=GHSTUSDT,1.8646862470096738e-08
symbol=GASUSDT,1.864603791568381e-08
symbol=APTUSDT,1.8607693311724885e-08
symbol=DUSKUSDT,1.8581354387329386e-08
symbol=TRUUSDT,1.8561368841405176e-08
symbol=FIOUSDT,1.8515988401578166e-08
symbol=DGBUSDT,1.8485603096358584e-08
symbol=XLMUSDT,1.848107359466753e-08
symbol=HOOKUSDT,1.847650439909696e-08
symbol=ONEUSDT,1.843493331617602e-08
symbol=RADUSDT,1.7524767456512412e-08
symbol=EGLDUSDT,1.749603811920831e-08
symbol=LQTYUSDT,1.7493110275207353e-08
symbol=INJUSDT,1.7416048240980954e-08
symbol=RIFUSDT,1.7352043184088105e-08
symbol=CRVUSDT,1.7331456163917493e-08
symbol=ATOMUSDT,1.7324382532997904e-08
symbol=VOXELUSDT,1.7309412296122376e-08
symbol=DFUSDT,1.7305536408643218e-08
symbol=KNCUSDT,1.7267881528212847e-08
symbol=TURBOUSDT,1.7265650328875466e-08
symbol=CTKUSDT,1.726520819357504e-08
symbol=SCRTUSDT,1.7259610803213784e-08
symbol=FILUSDT,1.725749881414434e-08
symbol=MBLUSDT,1.7253873615525078e-08
symbol=STMXUSDT,1.725171035218317e-08
symbol=DEGOUSDT,1.7248958384099277e-08
symbol=LUNAUSDT,1.7244445850998698e-08
symbol=REIUSDT,1.7218430831203847e-08
symbol=TUSDT,1.7180604428068776e-08
symbol=USTCUSDT,1.7174018359871945e-08
symbol=BICOUSDT,1.716042866646254e-08
symbol=BEAMXUSDT,1.7149259421195683e-08
symbol=DUSDT,1.714902876859539e-08
symbol=MEMEUSDT,1.7122590275620705e-08
symbol=FORMUSDT,1.7102128939892846e-08
symbol=DEXEUSDT,1.7096648106010334e-08
symbol=TFUELUSDT,1.70936146491905e-08
symbol=BCHUSDT,1.708059992289736e-08
symbol=FISUSDT,1.7077837188455302e-08
symbol=ZROUSDT,1.7070221710366267e-08
symbol=BONKUSDT,1.7061308706010067e-08
symbol=XTZUSDT,1.7042299204796262e-08
symbol=ENSOUSDT,1.703958598294823e-08
symbol=PERPUSDT,1.7036951794403842e-08
symbol=AWEUSDT,1.7031380240225076e-08
symbol=VTHOUSDT,1.7020319522419295e-08
symbol=HIGHUSDT,1.700773548058751e-08
symbol=UNIUSDT,1.7002764248488028e-08
symbol=EDENUSDT,1.69890325519796e-08
symbol=AMPUSDT,1.698707476566402e-08
symbol=OOKIUSDT,1.698595421880128e-08
symbol=MUBARAKUSDT,1.6969807123932703e-08
symbol=XRPUSDT,1.620801205286039e-08
