
Small Drop Cluster:
Previous Date Current Date  Previous RSI  Current RSI      Drop      Symbol
   2025-02-05   2025-02-07     48.908531    35.220571 13.687959     ARBUSDT
   2025-02-05   2025-02-07     48.011694    34.284935 13.726759    AVAXUSDT
   2025-02-05   2025-02-07     50.009078    36.280718 13.728361    GALAUSDT
   2025-02-05   2025-02-07     49.464669    35.725566 13.739103   LUMIAUSDT
   2025-02-05   2025-02-07     51.212373    37.444988 13.767385  PEOPLEUSDT
   2025-02-05   2025-02-07     52.551596    38.747235 13.804360  ALPINEUSDT
   2025-02-05   2025-02-07     53.948553    40.143198 13.805354    KAVAUSDT
   2025-01-22   2025-01-30     63.419302    49.464764 13.954538      ARUSDT
   2025-02-05   2025-02-07     45.012414    31.022757 13.989656     RADUSDT
   2025-02-05   2025-02-07     51.279741    37.278183 14.001558    OSMOUSDT
   2025-02-05   2025-02-07     48.532990    34.501067 14.031923     SEIUSDT
   2025-02-05   2025-02-07     49.527640    35.464008 14.063632     AVAUSDT
   2025-01-30   2025-02-05     66.076526    51.973799 14.102727      OMUSDT
   2025-02-05   2025-02-07     48.748883    34.644152 14.104731     JOEUSDT
   2025-02-05   2025-02-07     50.154745    36.040056 14.114689    IDEXUSDT
   2025-02-05   2025-02-07     48.766277    34.599885 14.166392    HIFIUSDT
   2025-02-05   2025-02-07     49.929544    35.742220 14.187324    FARMUSDT
   2025-02-05   2025-02-07     54.927234    40.712816 14.214419    RUNEUSDT
   2025-02-05   2025-02-07     48.018871    33.785508 14.233363    CGPTUSDT
   2025-01-30   2025-02-05     51.445099    37.209404 14.235695   BEAMXUSDT
   2025-01-30   2025-02-05     53.758586    39.470132 14.288453     SSVUSDT
   2025-01-22   2025-01-30     59.036041    44.640056 14.395985     TAOUSDT
   2025-01-30   2025-02-05     62.205409    47.776685 14.428723     LTCUSDT
   2025-02-05   2025-02-07     55.752794    41.207040 14.545754     ATMUSDT
   2025-02-05   2025-02-07     46.022199    31.463148 14.559051    CTXCUSDT
   2025-01-22   2025-01-30     70.265082    55.675961 14.589120      QIUSDT
   2025-02-05   2025-02-07     50.246767    35.640651 14.606116    ORDIUSDT
   2025-02-05   2025-02-07     48.867120    34.216303 14.650817     NOTUSDT
   2025-02-05   2025-02-07     45.241295    30.550004 14.691291     BIOUSDT
   2025-02-05   2025-02-07     48.905851    34.187538 14.718313     ACHUSDT
   2025-02-05   2025-02-07     49.577298    34.748012 14.829286     FIOUSDT
   2025-02-05   2025-02-07     47.527491    32.674029 14.853462    HIGHUSDT
   2025-02-05   2025-02-07     44.798395    29.929692 14.868703     AMBUSDT
   2025-02-05   2025-02-07     47.874707    32.989188 14.885520     MTLUSDT
   2025-02-05   2025-02-07     45.108751    30.084794 15.023956    PYTHUSDT
   2025-02-05   2025-02-07     51.831450    36.785434 15.046016    PIVXUSDT
   2025-02-05   2025-02-07     51.174217    36.118327 15.055890     CHRUSDT
   2025-01-30   2025-02-05     54.541761    39.475828 15.065933     EDUUSDT
   2025-02-05   2025-02-07     54.174011    39.056611 15.117400     JUVUSDT
   2025-02-05   2025-02-07     49.236825    33.790040 15.446784   FLOKIUSDT
   2025-02-05   2025-02-07     49.377047    33.915688 15.461359     DYMUSDT
   2025-02-05   2025-02-07     57.371299    41.902015 15.469284     JSTUSDT
   2025-02-05   2025-02-07     51.092005    35.609684 15.482321     GTCUSDT
   2025-01-22   2025-01-30     65.795948    50.295479 15.500468    PERPUSDT
   2025-02-05   2025-02-07     45.275705    29.766510 15.509195   ANIMEUSDT
   2025-02-05   2025-02-07     50.157710    34.590405 15.567305    DOGSUSDT
   2025-02-05   2025-02-07     48.982162    33.407639 15.574523    MEMEUSDT
   2025-02-05   2025-02-07     48.753497    33.137540 15.615956     KNCUSDT
   2025-01-22   2025-01-30     66.082653    50.420853 15.661801     SYSUSDT
   2025-02-05   2025-02-07     50.594694    34.878146 15.716548     NKNUSDT
   2025-02-05   2025-02-07     50.929476    35.205899 15.723577     CVCUSDT
   2025-02-05   2025-02-07     52.178181    36.437210 15.740971    NULSUSDT
   2025-02-05   2025-02-07     52.743185    36.854219 15.888966      OGUSDT
   2025-01-22   2025-01-30     60.299914    44.367931 15.931983    RAREUSDT
   2025-01-30   2025-02-05     56.584370    40.633651 15.950719    MASKUSDT
   2025-02-05   2025-02-07     48.935922    32.939139 15.996782    VANAUSDT
   2025-02-05   2025-02-07     45.821373    29.797293 16.024079     SNXUSDT
   2025-02-05   2025-02-07     51.745545    35.712146 16.033399     LITUSDT
   2025-02-05   2025-02-07     47.359224    31.289045 16.070178    PEPEUSDT
   2025-02-05   2025-02-07     45.493195    29.411576 16.081619  COOKIEUSDT
   2025-02-05   2025-02-07     47.772482    31.636830 16.135651    OMNIUSDT
   2025-02-05   2025-02-07     47.221332    31.079383 16.141949     REIUSDT
   2025-01-22   2025-01-30     64.198844    48.028120 16.170725    BAKEUSDT
   2025-02-05   2025-02-07     64.221787    47.802164 16.419623    PAXGUSDT
   2025-02-05   2025-02-07     50.451021    33.967955 16.483067 1000CATUSDT
   2025-02-05   2025-02-07     54.421405    37.933812 16.487594     ADXUSDT
   2025-02-05   2025-02-07     49.663883    33.099141 16.564742     SLFUSDT
   2025-02-05   2025-02-07     50.416672    33.833536 16.583136   TURBOUSDT
   2025-01-22   2025-01-30     58.310169    41.688138 16.622031     CVXUSDT
   2025-02-05   2025-02-07     50.896957    34.203883 16.693074    LINAUSDT
   2025-02-05   2025-02-07     53.006444    36.176916 16.829528    SCRTUSDT
   2025-02-05   2025-02-07     50.021533    33.172839 16.848694    SHIBUSDT
   2025-02-05   2025-02-07     51.749408    34.849948 16.899460     UFTUSDT
   2025-02-05   2025-02-07     50.213568    33.306307 16.907261     GMTUSDT
   2025-02-05   2025-02-07     48.438961    31.529369 16.909592     ZRXUSDT
   2025-02-05   2025-02-07     48.792558    31.879364 16.913194     CTKUSDT
   2025-02-05   2025-02-07     48.541539    31.622801 16.918738     ELFUSDT
   2025-02-05   2025-02-07     50.352799    33.304536 17.048263     THEUSDT
   2025-01-22   2025-01-30     65.539480    48.428791 17.110689     TRXUSDT
   2025-02-05   2025-02-07     47.399221    30.257136 17.142085     WANUSDT
   2025-02-05   2025-02-07     46.949017    29.782040 17.166977   CHESSUSDT
   2025-02-05   2025-02-07     49.449521    32.251378 17.198143     STXUSDT
   2025-02-05   2025-02-07     47.268632    30.022893 17.245739     QKCUSDT
   2025-01-30   2025-02-05     64.569619    47.309334 17.260285     BTCUSDT
   2025-02-05   2025-02-07     49.082647    31.815983 17.266664   NEIROUSDT
   2025-01-30   2025-02-05     62.912682    45.627413 17.285269   STRAXUSDT
   2025-02-05   2025-02-07     52.216278    34.876592 17.339686     ERNUSDT
   2025-01-30   2025-02-05     65.661292    48.049012 17.612280       SUSDT
   2025-02-05   2025-02-07     47.257483    29.470736 17.786747   TFUELUSDT
   2025-02-05   2025-02-07     47.912844    29.996510 17.916334     FLMUSDT
   2025-02-05   2025-02-07     51.176915    33.243139 17.933776     LTOUSDT
   2025-02-05   2025-02-07     49.378629    31.425878 17.952751    PNUTUSDT
   2025-02-05   2025-02-07     53.307055    35.339055 17.968000    VITEUSDT
